name,price,rating,category,number of reviews,type,Distance from Downtown
The Whitby Hotel,"US$4,475",9.5,Exceptional,140 reviews,Superior Room,0.8 km from downtown
Midtown West Hotel,"US$1,390",5.3,Review score,"2,698 reviews",Double Room with Private Bathroom,2.3 km from downtown
W New York - Union Square,"US$2,472",8.1,Very Good,210 reviews,Wonderful King Room - Hearing Accessible,3.5 km from downtown
"The Algonquin Hotel Times Square, Autograph Collection","US$1,307",8.3,Very Good,149 reviews,Deluxe Queen Room,1.3 km from downtown
70 Park Avenue Hotel,"US$1,544",8.3,Very Good,"2,424 reviews",Double Room,2 km from downtown
Hotel Mulberry,"US$1,245",8.4,Very Good,774 reviews,Deluxe King Room,6.1 km from downtown
Solita Soho Hotel,"US$1,382",7.8,Good,"1,252 reviews",Standard Queen Room,5.6 km from downtown
"The Draper New York, Tapestry Collection by Hilton","US$1,523",8.2,Very Good,"1,390 reviews",King Room,1.9 km from downtown
"Club Quarters Hotel Times Square, New York","US$1,100",8.1,Very Good,"2,864 reviews",Club Room,1.3 km from downtown
voco The Franklin New York by IHG,"US$1,700",8.4,Very Good,487 reviews,Double Room with Roll In Shower - Mobility Accessible/ Non- Smoking,2.6 km from downtown
The New York EDITION,"US$3,013",7.2,Good,76 reviews,King or Queen Room - Hearing Accessible,3 km from downtown
Radio City Apartments,"US$1,421",8.7,Excellent,"6,182 reviews",Studio with Two Double Beds,0.9 km from downtown
Courtyard by Marriott New York Manhattan / Soho,"US$1,951",7.8,Good,323 reviews,King Room,4.9 km from downtown
Hotel Five44,"US$1,195",7.7,Good,901 reviews,Deluxe Queen Room,1.2 km from downtown
Hyatt House New York/Chelsea,"US$1,425",8.5,Very Good,"1,817 reviews",Den King Room,2.5 km from downtown
World Center Hotel,"US$1,009",8.4,Very Good,"3,355 reviews",Small Queen Room,7 km from downtown
Best Western Plus Soho Hotel,"US$1,330",8.6,Excellent,"1,405 reviews",Queen Room,5.8 km from downtown
Hotel St. James,"US$1,341",8.1,Very Good,"3,204 reviews",One Full Bed Room,1.2 km from downtown
Holiday Inn New York City - Times Square by IHG,"US$1,217",7.9,Good,"2,077 reviews",Standard Double Room with Two Double Beds,1.6 km from downtown
The William powered by Sonder,"US$1,196",8.0,Very Good,300 reviews,Double Room,2 km from downtown
New York City Guest House 2,US$652,8.3,Very Good,29 reviews,Double Room with Shared Bathroom,5.8 km from downtown
Hard Rock Hotel New York,"US$1,738",8.6,Excellent,"3,081 reviews",Standard King Room,1 km from downtown
Manhattan Exclusive Apartment Midtown NYC Luxury Penthouse Sleeps 8,"US$20,975",9.6,Exceptional,21 reviews,Apartment,1.3 km from downtown
Residence Inn by Marriott New York Manhattan/ Midtown Eastside,"US$1,945",8.6,Excellent,315 reviews,King Studio,1.7 km from downtown
The Gotham Hotel,"US$1,321",8.6,Excellent,"1,746 reviews",Queen Room,1.4 km from downtown
The Gallivant Times Square,"US$1,073",5.7,Review score,"5,644 reviews",Standard Accessible Room,0.9 km from downtown
Fitzpatrick Manhattan,"US$1,580",8.5,Very Good,548 reviews,Deluxe Room,1.4 km from downtown
Four Seasons Hotel New York Downtown,"US$4,295",8.7,Excellent,154 reviews,Manhattan Room with king bed,6.5 km from downtown
Cozy Townhouse in Harlem,US$605,6.6,Review score,156 reviews,Double Room,5.9 km from downtown
3 West Club,"US$1,240",8.5,Very Good,551 reviews,Superior King Room,1 km from downtown
Walker Hotel Tribeca,"US$1,135",8.0,Very Good,"1,653 reviews",Walker Full,5.8 km from downtown
"Hotel and the City, Empire State Building","US$1,239",7.9,Good,"1,869 reviews",Standard Apartment,2.4 km from downtown
The Hotel Chelsea,"US$1,998",9.3,Wonderful,"1,288 reviews",Petite Chelsea,2.9 km from downtown
Northern Lights Mansion,"US$1,560",8.5,Very Good,399 reviews,Deluxe Queen Room,5.1 km from downtown
Sonder Flatiron,"US$1,200",7.6,Good,98 reviews,Superior Queen Room,2.7 km from downtown
"Park South Hotel, part of JdV by Hyatt","US$1,555",8.4,Very Good,313 reviews,Queen Room,2.8 km from downtown
Hudson River Hotel,"US$2,135",5.7,Review score,"2,621 reviews",Single Room,1.9 km from downtown
NYC Empire Apartments,"US$1,023",7.3,Good,"1,104 reviews",Standard Studio #6,2.4 km from downtown
Ameritania at Times Square,"US$1,046",8.1,Very Good,"5,759 reviews",Standard Double Room,450 m from downtown
Hotel on Rivington,"US$1,517",7.3,Good,522 reviews,King Studio,5.4 km from downtown
Redford Hotel,"US$1,125",7.9,Good,364 reviews,Redford Queen,5.3 km from downtown
Leo House,US$859,8.0,Very Good,"3,471 reviews",Single Room with Shared Bathroom,2.9 km from downtown
"Andaz 5th Avenue, By Hyatt","US$2,262",8.1,Very Good,145 reviews,King Room,1.7 km from downtown
Days Inn by Wyndham New York Chinatown,"US$1,645",7.6,Good,73 reviews,"Double Room with Mobility Access and Roll-In Shower, Non-Smoking",5.7 km from downtown
Sonder Duane Street,"US$1,289",7.7,Good,445 reviews,King Room,6.2 km from downtown
TownePlace Suites by Marriott New York Manhattan/Times Square,"US$1,339",8.5,Very Good,"1,704 reviews",Queen Studio,1.2 km from downtown
JG Sohotel,"US$1,170",7.1,Good,280 reviews,Queen Room,5.7 km from downtown
Edge Hotel Washington Heights,"US$1,041",8.6,Excellent,402 reviews,Edge Standard Queen,8.9 km from downtown
"The Manner, The Unbound Collection by Hyatt","US$3,719",9.0,Wonderful,22 reviews,King Room,5.2 km from downtown
Soul Food 'Mont Morris',"US$1,578",9.3,Wonderful,375 reviews,Deluxe Double Room,5 km from downtown
Mint House at 70 Pine,"US$1,582",9.2,Wonderful,"1,024 reviews",Queen Room,7.2 km from downtown
Library Hotel by Library Hotel Collection,"US$1,481",8.8,Excellent,375 reviews,Petite Room with One Full Bed,1.8 km from downtown
The Bowery Hotel,"US$2,795",8.9,Excellent,319 reviews,Queen Room,4.7 km from downtown
The Ned NoMad,"US$2,505",8.5,Very Good,48 reviews,Classic,2.6 km from downtown
Sonder at The Nash,"US$2,134",7.9,Good,147 reviews,King Studio,2.3 km from downtown
Chelsea Pines Inn,"US$1,268",7.8,Good,"1,626 reviews",Standard Double Room,3.6 km from downtown
SpringHill Suites by Marriott New York Manhattan Times Square,"US$1,289",8.2,Very Good,355 reviews,King Room,1 km from downtown
Lombardy Hotel,"US$1,415",8.6,Excellent,960 reviews,Standard King Room,1.2 km from downtown
New York City GuestHouse,US$899,8.0,Very Good,40 reviews,Double Room with Private Bathroom,5.8 km from downtown
West 30th Street Guest House,US$463,6.5,Review score,564 reviews,Single Room,2.4 km from downtown
"The Pierre, A Taj Hotel, New York","US$3,199",8.5,Very Good,953 reviews,Superior Room,0.9 km from downtown
Chambers powered by Sonder,"US$1,358",8.3,Very Good,664 reviews,Queen Room - Disability Access,0.8 km from downtown
"The Chatwal, The Unbound Collection by Hyatt","US$2,861",8.2,Very Good,76 reviews,Superior Queen Room,1.3 km from downtown
The Harlem Cascades,US$509,8.4,Very Good,749 reviews,Single Room,5.6 km from downtown
Harlem Grand,"US$1,250",8.8,Excellent,237 reviews,Poitier - Large Double Room,5.1 km from downtown
The Broome,"US$1,467",8.7,Excellent,294 reviews,Deluxe Queen,5.4 km from downtown
"The Ritz-Carlton New York, Central Park","US$3,970",7.9,Good,144 reviews,"Superior Interior View Room, 1 King Bed",0.6 km from downtown
Sanctuary NYC Retreats,"US$1,715",8.8,Excellent,922 reviews,Queen Studio,5.4 km from downtown
Casa Cipriani New York,"US$4,540",9.0,Wonderful,84 reviews,Deluxe City View King,7.9 km from downtown
The Wall Street Hotel New York City,"US$2,292",9.3,Wonderful,707 reviews,King Deluxe,7.3 km from downtown
The Fifth Avenue Hotel,"US$4,229",9.1,Wonderful,50 reviews,City King,2.6 km from downtown
The High Line Hotel,"US$1,715",6.7,Review score,66 reviews,Double Room,3.1 km from downtown
The Mark New York,"US$6,480",9.3,Wonderful,18 reviews,Madison Queen Guest Room,1.8 km from downtown
Sonder at One Platt,"US$9,710",8.2,Very Good,"1,978 reviews",Deluxe One-Bedroom Apartment,7 km from downtown
Park Hyatt New York,"US$5,492",7.7,Good,9 reviews,King Room with Accessible Shower - Disability Access,400 m from downtown
AKA Times Square,"US$1,900",8.6,Excellent,217 reviews,Hotel Room,1.3 km from downtown
"Hotel Alameda, Highline","US$1,359",7.4,Good,252 reviews,Economy Double Room,2.7 km from downtown
Off SoHo Suites Hotel,"US$1,796",7.9,Good,937 reviews,Deluxe One-Bedroom Suite,5.3 km from downtown
"The Jewel Hotel, New York","US$1,291",8.7,Excellent,"3,102 reviews",Premier Room,1 km from downtown
Walker Hotel Greenwich Village,"US$1,819",8.1,Very Good,"1,137 reviews",Queen Room (The Grove),3.7 km from downtown
One Dutch Hotel,"US$1,950",9.0,Wonderful,91 reviews,Studio Apartment,6.9 km from downtown
The Central Park North,US$655,7.5,Good,541 reviews,Economy 1 Double Bed Room with Shared Bathroom,4.2 km from downtown
Hampton Inn Manhattan - Times Square South,"US$1,127",7.4,Good,"2,142 reviews",King Room with Refrigerator - Non-Smoking,1.6 km from downtown
Hotel 32 32,"US$1,154",7.1,Good,576 reviews,Double Studio with balcony,2.4 km from downtown
"Mandarin Oriental, New York","US$7,335",8.8,Excellent,291 reviews,King Room with Central Park View,150 m from downtown
Best Western Premier Empire State Hotel,"US$1,152",8.5,Very Good,"1,439 reviews",King Room,2.5 km from downtown
TOWNHOUSE 222,"US$10,688",9.0,Wonderful,4 reviews,Villa,2.4 km from downtown
Lotte New York Palace,"US$2,330",8.0,Very Good,557 reviews,Superior Room with King Bed,1.3 km from downtown
Cozy place in midtown NYC,"US$1,170",9.4,Wonderful,26 reviews,One-Bedroom Apartment,2.1 km from downtown
East Village Hotel,"US$1,532",7.5,Good,618 reviews,Queen Studio,4.4 km from downtown
Hotel Scherman,"US$1,410",9.3,Wonderful,"2,278 reviews",Queen Room,1.1 km from downtown
The Wall Street Inn,"US$1,315",8.3,Very Good,"1,573 reviews",Superior Queen Room,7.5 km from downtown
Private Gramercy TownHouse 3BR3BA with Terrace,"US$6,495",8.7,Excellent,4 reviews,Three-Bedroom House,3.2 km from downtown
The Marmara Park Avenue,"US$2,245",8.2,Very Good,451 reviews,Deluxe Queen (DLXQ),2.5 km from downtown
Truss Hotel Times Square,"US$1,008",7.4,Good,139 reviews,King Room,1.7 km from downtown
The Manhattan Club,"US$1,262",8.2,Very Good,"4,233 reviews",Metropolitan Suite,350 m from downtown
Best Western Plus Hospitality House Suites,"US$1,980",8.4,Very Good,"1,104 reviews",Queen Room with Roll-In Shower - ADA,1.6 km from downtown
17John,"US$1,694",8.8,Excellent,252 reviews,Queen Studio - Disability Access,6.8 km from downtown
Comfortable Apartment with Workstation,"US$1,242",7.3,Good,11 reviews,One-Bedroom Apartment,5.9 km from downtown
Ink 48 Hotel,"US$1,034",7.5,Good,"2,553 reviews",King Room - Disability Access,1.2 km from downtown
Nine Orchard,"US$2,278",9.2,Wonderful,110 reviews,Accessible Studio Queen,6 km from downtown
Luxe Studio w Juliet Balcony in Upper East,"US$1,677",8.4,Very Good,17 reviews,Apartment,1.9 km from downtown
The Park Ave North,US$785,7.8,Good,766 reviews,Standard Queen Room,5.8 km from downtown
Park Terrace Hotel,"US$1,428",8.8,Excellent,"3,190 reviews",Classic Room,1.7 km from downtown
Massive 1BR w Private Patio in Upper East Side,"US$1,665",8.1,Very Good,7 reviews,One-Bedroom Apartment,1.9 km from downtown
Baccarat Hotel and Residences New York,"US$4,824",9.2,Wonderful,282 reviews,Atelier King,0.9 km from downtown
The Mercer,"US$4,375",9.0,Wonderful,216 reviews,Courtyard Room,5 km from downtown
The Greenwich Hotel,"US$4,625",9.4,Wonderful,70 reviews,Queen Room,5.9 km from downtown
Metropolitan Studio Apartments Manhattan,"US$1,210",8.0,Very Good,1 review,Standard Studio,2.4 km from downtown
Elegant Retreat - Sophisticated One Bedroom in Downtown Manhattan's Union Square,"US$1,466",10,Exceptional,3 reviews,One-Bedroom Apartment,4.1 km from downtown
Great Walkable Studio Apt!,"US$1,209",5.0,Review score,1 review,One-Bedroom Apartment,1.1 km from downtown
The Wolf of Wall Street Apartment,"US$3,745",N/A,N/A,N/A,Two-Bedroom Apartment,7.2 km from downtown
Studio w Charming Juliet Balcony in Upper East,"US$1,523",9.0,Wonderful,9 reviews,Apartment,1.9 km from downtown
Elevate Apartment at Times Square - Cozy Studio in Times Square and Nearby Restaurants,"US$1,756",7.9,Good,6 reviews,Apartment,1.1 km from downtown
Hudson Yard 408,US$990,6.9,Review score,7 reviews,Budget Double Room,1.9 km from downtown
"The Carlyle, A Rosewood Hotel","US$5,518",N/A,N/A,N/A,Superior Room,1.7 km from downtown
Collective Governors Island,"US$2,221",8.6,Excellent,84 reviews,Deluxe Double or Twin Room,9.4 km from downtown
Nomad stylish studio in NYC,"US$1,453",9.5,Exceptional,2 reviews,One-Bedroom Apartment,2.7 km from downtown
Doxie Hotel,"US$1,247",7.4,Good,582 reviews,Queen Room,1.7 km from downtown
Merrion Row Hotel and Public House,"US$1,875",8.9,Excellent,774 reviews,Deluxe Queen Room,1.2 km from downtown
Crosby Street Hotel,"US$5,625",9.6,Exceptional,180 reviews,Luxury King Room,5.2 km from downtown
Top Notch 2BR 2BA Suite Minutes to Central Park,"US$3,364",N/A,N/A,N/A,Two-Bedroom Deluxe Apartment,1.9 km from downtown
Homelike suites in the heart of China Town,"US$1,840",8.0,Very Good,60 reviews,One-Bedroom Apartment,5.9 km from downtown
Equinox Hotel New York,"US$4,735",8.9,Excellent,346 reviews,Double Room,2.3 km from downtown
Warren Street Hotel,"US$4,475",9.1,Wonderful,18 reviews,Superior King Room,6.3 km from downtown
Chelsea Inn,"US$1,121",7.3,Good,"1,146 reviews",Standard Double Room with Shared Bathroom,3.4 km from downtown
Manhattan Bowery Lodge,US$525,6.4,Review score,"1,098 reviews",Budget Double Room,5.8 km from downtown
The Sherry Netherland,"US$4,545",8.9,Excellent,224 reviews,Interior King Room,0.9 km from downtown
2 Bedroom Home In Lower Manhattan,"US$2,135",8.4,Very Good,7 reviews,Two-Bedroom Apartment,5.8 km from downtown
Central Studio- Walking distance to Times Square,"US$1,209",8.0,Very Good,2 reviews,One-Bedroom Apartment,1.1 km from downtown
Hidden Cozy 2BD apartment In Manhattan,"US$1,951",8.8,Excellent,14 reviews,Two-Bedroom Apartment,2.3 km from downtown
Luxury 2BR 1Bath Financial District Escape Near Wall Street,"US$3,319",10,Exceptional,5 reviews,Two-Bedroom Apartment,7.3 km from downtown
Luxury 1BD Unit in Midtown West,"US$1,812",7.8,Good,8 reviews,One-Bedroom Apartment,1 km from downtown
2 Bedroom Upscale Home,"US$1,938",8.6,Excellent,11 reviews,Two-Bedroom Apartment,5.3 km from downtown
Hotel Beacon,"US$1,513",8.8,Excellent,"2,918 reviews",Queen Room,1.4 km from downtown
Beauty in the Heart of the Village,"US$2,220",9.3,Wonderful,4 reviews,Studio with Garden View,4.2 km from downtown
Park South Central 3 Bedroom with Private Terrace,"US$4,150",9.3,Wonderful,7 reviews,Three-Bedroom Apartment,2.8 km from downtown
"Midtown2 New York City-Steps to Central Park, Time Square, Subway","US$2,495",6.0,Review score,3 reviews,One-Bedroom Apartment,1.5 km from downtown
4 Bedroom Home in Lower Manhattan,"US$2,954",8.5,Very Good,6 reviews,Apartment,5.7 km from downtown
Newly Renovated 2BR Haven Walk to Columbia Uni,"US$2,930",4.7,Review score,3 reviews,Two-Bedroom Apartment,4.8 km from downtown
"New York City Stay2 close to Time Square, Central Park, Columbus Circle, Health Kitchen","US$2,495",4.0,Review score,1 review,One-Bedroom Apartment,0.9 km from downtown
Micro Studio Walk to Time Square,"US$1,596",N/A,N/A,N/A,One-Bedroom Apartment,1.1 km from downtown
Centrally Located APT in NYC Walk to Time Square,"US$3,536",N/A,N/A,N/A,Apartment,1.4 km from downtown
Homestyle - 3BD - Unit in central Manhattan,"US$2,869",7.0,Good,3 reviews,Three-Bedroom Apartment,0.7 km from downtown
Stunning Modern 2Bedroom Apartment Near Central Park and Times Square,"US$3,384",7.1,Good,7 reviews,Two-Bedroom Apartment,0.6 km from downtown
The Harlem Flophouse,US$923,8.8,Excellent,125 reviews,Double Room,5.2 km from downtown
West Village Lush Green,"US$2,065",7.7,Good,4 reviews,Studio,4.3 km from downtown
Chic Midtown 2Bedroom Cozy & Modern Retreat in Hells Kitchen,"US$3,384",10,Exceptional,1 review,Two-Bedroom Apartment,0.6 km from downtown
Beautiful NYC Skyline Aparthotel for 6,"US$1,440",N/A,N/A,N/A,Two-Room Apartment,5.4 km from downtown
Studio Haven in Times Square & Nearby Restaurants,"US$1,820",7.0,Good,11 reviews,Apartment,1.1 km from downtown
SWJ 1st - Near Most Attractions Walk to Train Times Sq near,"US$2,573",N/A,N/A,N/A,Apartment,6.3 km from downtown
SWJ G - Save on 2Day or more Stays 25min to Times Sq,"US$2,404",7.3,Good,4 reviews,Apartment,6.3 km from downtown
Stunning 3-Bedroom Apartment in the Heart of East Village Manhattan!,"US$3,092",7.7,Good,6 reviews,Three-Bedroom Apartment,4.4 km from downtown
Convenient 2BR - Walking distance to Times Square,"US$3,591",8.4,Very Good,5 reviews,Apartment,1.1 km from downtown
Your NYC Escape! 1BR Just Steps from Central Park,"US$2,659",N/A,N/A,N/A,One-Bedroom Standard Apartment,1.6 km from downtown
Newly Renovated 3BR Oasis Walk to Columbia Uni,"US$4,095",8.5,Very Good,4 reviews,Three-Bedroom House,4.8 km from downtown
Modern 2 Bedroom Apartment Steps from Central Park!,"US$3,311",N/A,N/A,N/A,Apartment,3.9 km from downtown
Elegant 2bed 2bath apt,"US$3,845",8.2,Very Good,6 reviews,Two-Bedroom Apartment,0.8 km from downtown
Unique 2 Bed 1 Bath In UES,"US$3,425",N/A,N/A,N/A,Two-Bedroom Apartment,2.9 km from downtown
Lower East Side Gem 3BR Apartment Near Williamsburg Bridge,"US$3,828",N/A,N/A,N/A,Three-Bedroom Apartment,5.2 km from downtown
"Near Time Square Stay in New York City, Columbus Circle and Health Kitchen","US$2,495",10,Exceptional,2 reviews,One-Bedroom Apartment,0.7 km from downtown
5th & 55th Residence Club,"US$5,975",8.2,Very Good,6 reviews,King Room,0.9 km from downtown
Luxury 2BR Duplex 5min to Central Park,"US$3,364",8.7,Excellent,3 reviews,Hotel,1.9 km from downtown
